t,mse_t,rmse_t,mse_db_t
0,1.5054388046264648,1.226963245018556,1.7766310634283031
1,2.8712379932403564,1.6944727773677442,4.580691921019553
2,8.14378833770752,2.853732352149991,9.10826477546684
3,19.887983322143555,4.459594524409541,12.985907471028762
4,47.975303649902344,6.926420695417103,16.81017732194579
5,103.70445251464844,10.183538310167465,20.157974030720727
6,238.6072235107422,15.446916310731478,23.77683587210973
7,503.7335510253906,22.44400924579632,27.02200877877622
8,1148.732666015625,33.89295894453043,30.602189710879124
9,2492.053955078125,49.92047631060951,33.9655744093217
10,5773.240234375,75.98184147791497,37.614196296089155
11,12788.9189453125,113.08810258074233,41.06833834867376
12,29879.1640625,172.85590548922534,44.75368442938478
13,67630.453125,260.05855710781753,48.3014229721431
14,160023.5625,400.0294520407216,52.04183934595391
15,369755.6875,608.0753962297767,55.679148629417334
