t,mse_t,rmse_t,mse_db_t
0,0.26321080327033997,0.5130407423103354,-5.796962894334305
1,0.07075244188308716,0.2659933117262296,-11.502585667146333
2,0.03039964847266674,0.17435494966494855,-15.171314383407118
3,0.014425497502088547,0.12010619260507989,-18.40869200100411
4,0.007007662206888199,0.08371178057411155,-21.544268408040427
5,0.003851971123367548,0.06206424996217668,-24.14316977261194
6,0.002368296030908823,0.04866514184618003,-26.255640128635104
7,0.0016840045573189855,0.04103662458486304,-27.736567375300687
8,0.001325002289377153,0.03640058089340269,-28.777833713399993
9,0.0011916774092242122,0.034520680891665684,-29.23841293551149
10,0.001073321676813066,0.032761588435438624,-29.692700995361786
11,0.0011156110558658838,0.03340076430062468,-29.524871904639348
12,0.0010666879825294018,0.03266018956664829,-29.71962597710007
13,0.0010204691207036376,0.03194478237057873,-29.912001324578732
14,0.0011034703347831964,0.03321852397056793,-29.572393377294553
15,0.0010538232745602727,0.03246264429402313,-29.77232213903796
16,0.0010051591088995337,0.03170424433572789,-29.97765187350165
17,0.0010295264655724168,0.03208623483010147,-29.873624846901205
18,0.0010753740789368749,0.0327928967756262,-29.684404360664082
19,0.000994041096419096,0.03152841728376317,-30.025956602917283
20,0.0009739028173498809,0.0312074160633315,-30.114843778179026
21,0.0009949151426553726,0.031542275483157085,-30.022139591016057
22,0.0009990503313019872,0.03160775745449188,-30.0041263183798
23,0.0009671653970144689,0.031099282901933107,-30.14499249941435
24,0.0010374797275289893,0.03220993212549492,-29.840203806961703
25,0.0010824603959918022,0.0329007658876173,-29.655879842280495
26,0.0010057741310447454,0.03171394221860072,-29.974995388174975
27,0.0010183443082496524,0.03191150745812006,-29.92105359630537
28,0.0009872314985841513,0.03142024026935745,-30.05580996500612
29,0.0009910872904583812,0.031481538883262696,-30.038880931485398
30,0.00104684813413769,0.03235503259367374,-29.80116316687688
31,0.00106064195279032,0.03256749841161154,-29.744311987288686
32,0.0010157866636291146,0.03187140824672036,-29.931974933683243
33,0.0009718272485770285,0.03117414391089238,-30.124109281370387
34,0.0010241921991109848,0.032003002970205544,-29.896185363477027
35,0.0010037461761385202,0.03168195347731134,-29.983760961940632
36,0.001022829208523035,0.03198170115117448,-29.901968784954718
37,0.0009554392891004682,0.030910180994301345,-30.197969038432255
38,0.0009946743957698345,0.03153845899484999,-30.023190612268586
39,0.0010790313826873899,0.03284861310142926,-29.669659240568855
40,0.0010294513776898384,0.03208506471381721,-29.87394160847475
41,0.001063677598722279,0.03261407056352027,-29.731899869971357
42,0.0010573671897873282,0.03251718299280133,-29.75774169924278
43,0.00106089620385319,0.03257140162555474,-29.743271045990454
44,0.0010468547698110342,0.03235513513819768,-29.801135638268956
45,0.001041480340063572,0.03227197452997836,-29.82348923779118
46,0.00105122325476259,0.032422573228579346,-29.783050403800306
47,0.001113450969569385,0.033368412751723524,-29.53328902217086
48,0.0011243680492043495,0.03353159777291189,-29.490915040921646
49,0.0010372806573286653,0.032206841778241235,-29.84103720527033
50,0.0010783625766634941,0.032838431397731134,-29.672351922391638
51,0.0010260144481435418,0.032031460287404036,-29.888465235274833
52,0.0010459774639457464,0.032341574852590996,-29.804776724376175
53,0.0010874815052375197,0.032976984477624996,-29.635781203426035
54,0.0010586145799607038,0.032536357816459784,-29.752621289042867
55,0.0010247079189866781,0.032011059323094546,-29.893999075341526
56,0.0010368863586336374,0.03220071984651333,-29.84268839100626
57,0.0010294712847098708,0.03208537493484954,-29.873857627574356
58,0.0010402024490758777,0.0322521696801297,-29.828821280473555
59,0.0010344465263187885,0.03216281278617883,-29.85291954418168
60,0.0010012726997956634,0.031642893353732104,-29.994476249309304
61,0.0010486423270776868,0.03238274736765994,-29.793726165390623
62,0.0010196099756285548,0.031931332193138366,-29.915659241450598
63,0.0010448005050420761,0.0323233739736754,-29.809666261370204
64,0.0009885620092973113,0.031441405968838466,-30.049960836077638
65,0.0009992598788812757,0.03161107209319664,-30.003215495252824
66,0.00103179388679564,0.032121548636322626,-29.86407049576478
67,0.0009810138726606965,0.03132114098593307,-30.083248511548213
68,0.0010360387386754155,0.032187555649278735,-29.846240055189412
69,0.000997668132185936,0.03158588501508128,-30.01013899924445
70,0.0010540691437199712,0.032466431028371,-29.771308997960304
71,0.0010551449377089739,0.03248299459269379,-29.766878803436985
72,0.0009881585137918591,0.03143498868763689,-30.051733832026
73,0.0009979793103411794,0.03159081053631228,-30.008784622174367
74,0.0010000660549849272,0.03162382100545295,-29.999713136319723
75,0.001005539670586586,0.03171024551444826,-29.976007909280153
76,0.000982334720902145,0.03134221946356296,-30.07740505419056
77,0.0010223420104011893,0.031974083417686726,-29.90403792672589
78,0.0010359673760831356,0.03218644708698268,-29.84653920855419
79,0.0010853686835616827,0.03294493411075036,-29.644227133927714
80,0.0010237802052870393,0.031996565523303266,-29.89793271755609
81,0.001036434550769627,0.032193703588894944,-29.84458117725499
82,0.0010110271396115422,0.0317966529624038,-29.952371862237023
83,0.0010272315703332424,0.03205045351213057,-29.88331641717953
84,0.0010479229968041182,0.032371638772297553,-29.796706288901937
85,0.00103405409026891,0.03215671143430108,-29.854567431657667
86,0.0010673850774765015,0.03267085976028947,-29.716788731221946
87,0.001047945232130587,0.03237198220885751,-29.79661413921947
88,0.0010464922524988651,0.03234953249274037,-29.802639825278234
89,0.0010272398358210921,0.03205058245681492,-29.883281472368395
90,0.0010271049104630947,0.03204847750616392,-29.88385194466753
91,0.0009963614866137505,0.031565194227404184,-30.01583068042787
92,0.0010502031072974205,0.03240683735413594,-29.787267010745502
93,0.001013791305013001,0.03184008958864596,-29.940514379114607
94,0.0010215169750154018,0.03196117918687297,-29.907544121012684
95,0.0010239164112135768,0.03199869389855743,-29.897354961242893
96,0.001060908893123269,0.03257159641656007,-29.74321910078604
97,0.0010380659950897098,0.03221903156660221,-29.837750353197357
98,0.001069151097908616,0.03269787604583234,-29.709609137334358
99,0.0010186467552557588,0.03191624594553311,-29.9197639385436
100,0.0010175760835409164,0.031899468389628635,-29.92433108956145
101,0.0009847350884228945,0.03138048897679726,-30.066805868729062
102,0.0010292435763403773,0.032081826262548976,-29.87481834817368
103,0.0009804797591641545,0.031312613419581484,-30.085613673955347
104,0.0009559202007949352,0.030917959195181935,-30.1957836065373
105,0.0009718063520267606,0.031173808750724712,-30.12420266580735
106,0.0009900800650939345,0.03146553773724413,-30.04329683763562
107,0.0009813797660171986,0.03132698143800642,-30.081629004998625
