t,mse_t,rmse_t,mse_db_t
0,0.00102257973048836,0.03197780058866401,-29.903028200822973
1,0.0005799031350761652,0.02408117802509182,-32.36644543359737
2,0.0005576271214522421,0.023614129699233936,-32.53656111505091
3,0.000517024309374392,0.022738168558052163,-32.86489036830701
4,0.000519201101269573,0.02278598475531775,-32.84664395031279
5,0.000512508733663708,0.022638655738884055,-32.902987293948684
6,0.0005388576537370682,0.023213307686261953,-32.685259442030514
7,0.0005386067787185311,0.02320790336757138,-32.68728185010051
8,0.0004790868260897696,0.021888052131009045,-33.1958577118982
9,0.0005024115671403706,0.022414539190899523,-32.98940370291153
10,0.0005140012945048511,0.02267159664657192,-32.890357872389544
11,0.0005624440382234752,0.023715902644079884,-32.49920682282894
12,0.0005243991618044674,0.02289976335695344,-32.80338011154313
13,0.0005121969734318554,0.02263176911847272,-32.90562992102903
14,0.0005126232863403857,0.02264118562134911,-32.902016695145704
15,0.000508157245349139,0.022542343386372656,-32.94001877833568
16,0.0005366808618418872,0.023166373515116415,-32.70283891474017
17,0.0005002630059607327,0.022366559993900106,-33.00801611650166
18,0.0005050127510912716,0.02247248876051052,-32.96697656220614
19,0.0005042743287049234,0.022456053275340334,-32.973331400811425
20,0.0005251299007795751,0.0229157129668613,-32.797332523778365
21,0.0005221113096922636,0.022849755134186092,-32.82236899235666
22,0.0005173009121790528,0.022744250090496562,-32.86256755780015
23,0.0005499511607922614,0.023451037520593014,-32.596758769425065
24,0.0005556027172133327,0.02357122646816098,-32.5523563898217
25,0.000513073056936264,0.02265111601966367,-32.898207909012996
26,0.0005070327315479517,0.022517387316204153,-32.949640038386164
27,0.0005142400041222572,0.022676860543784653,-32.888341414353526
28,0.0005211716052144766,0.02282918319201273,-32.83019253808634
29,0.0004960461519658566,0.022272093569439235,-33.04477915018574
30,0.000509980134665966,0.022582739751101193,-32.92446740711833
31,0.0004928750568069518,0.022200789553683712,-33.07263159863545
32,0.0005186980706639588,0.022774943922301078,-32.85085367394028
33,0.0004900820204056799,0.022137796195775224,-33.09731230117103
34,0.00047986689605750144,0.02190586442159956,-33.188792091328914
35,0.0005129571072757244,0.022648556405999134,-32.89918948440369
36,0.00048619447625242174,0.022049818054859813,-33.13189979566562
37,0.0004911499563604593,0.022161903265749974,-33.08785890205039
38,0.0004999212687835097,0.0223589192221697,-33.01098386114336
39,0.0005136902327649295,0.02266473544440635,-32.89298691812399
40,0.0005130196805112064,0.022649937759543763,-32.8986597412118
41,0.0005120129208080471,0.02262770250838664,-32.90719079327231
42,0.0005087574245408177,0.022555651720595832,-32.93489239853053
43,0.0005030809552408755,0.022429466227284044,-32.98362123124163
44,0.000516640255227685,0.022729721846685345,-32.868117577791665
45,0.0004689786001108587,0.021655913744537743,-33.288469740563606
46,0.0004992412286810577,0.022343706690722952,-33.01689556640292
47,0.0005270865513011813,0.02295836560605265,-32.781180647377994
48,0.0005204359767958522,0.022813065922752517,-32.836326890822896
49,0.0005121936555951834,0.0226316958179272,-32.90565805323012
50,0.0004912940785288811,0.022165154601962087,-33.086584702997996
51,0.0005401313537731767,0.02324072618859352,-32.675006118773815
52,0.0005028463783673942,0.022424236405447436,-32.98564673428102
53,0.0005179820582270622,0.022759219191946418,-32.85685283011389
54,0.0005079300026409328,0.022537302470369714,-32.941961333093005
55,0.0005035707144998014,0.022440381335882005,-32.97939534523182
56,0.00049138895701617,0.022167294760889748,-33.08574607645986
57,0.0005446407594718039,0.023337539704771877,-32.63889860331159
58,0.0005057170637883246,0.02248815385460364,-32.96092392256158
59,0.0005101904389448464,0.022587395576844322,-32.92267684402046
60,0.00048552750376984477,0.022034688646991242,-33.13786163496139
61,0.0005484014982357621,0.023417973828573687,-32.60901367386108
62,0.0005256473668850958,0.02292700082621135,-32.79305506747469
63,0.0005199214210733771,0.022801785479943826,-32.84062289005513
64,0.0004965107655152678,0.022282521525071347,-33.04071330545864
65,0.0004927543923258781,0.022198071815495105,-33.073694958067335
66,0.0005339360213838518,0.023107055662369702,-32.72510778972533
67,0.0005154137033969164,0.022702724580915754,-32.87844038966043
68,0.000518771237693727,0.022776550171036154,-32.850241105701734
69,0.0005269806133583188,0.022956058314926777,-32.78205361383985
70,0.0004964504623785615,0.02228116833513363,-33.04124080479718
71,0.00050500244833529,0.02247225952892343,-32.96706516344846
72,0.0005262252525426447,0.022939600095525745,-32.78828314789318
73,0.0004911883734166622,0.022162769985195042,-33.08751921632252
74,0.0004946324625052512,0.02224033413654685,-33.05717384488557
75,0.00047632865607738495,0.02182495489290608,-33.22093290413833
