t,mse_t,rmse_t,mse_db_t
0,0.0003959097957704216,0.0198974821465034,-34.02403752614026
1,0.00029924671980552375,0.01729874908210197,-35.23970601416684
2,0.0002865800051949918,0.016928674053067236,-35.42754113786564
3,0.00028010894311591983,0.016736455512321592,-35.52673025114695
4,0.00028689258033409715,0.016937903658189143,-35.4228068340833
5,0.00028556055622175336,0.016898537103008454,-35.44301780783331
6,0.0002869981399271637,0.016941019447694515,-35.421209179767615
7,0.00028763432055711746,0.01695978539242515,-35.411592951344616
8,0.0002669353852979839,0.016338157340960575,-35.73593851761264
9,0.00028029378154315054,0.01674197663190194,-35.52386537171762
10,0.0002570495125837624,0.01603276372257018,-35.899832153035916
11,0.00027674841112457216,0.016635757004854698,-35.579148638252526
12,0.0002828890865202993,0.01681930695719355,-35.483838067156356
13,0.0002606103662401438,0.016143431055390418,-35.84008313445561
14,0.0002746516838669777,0.016572618497599518,-35.61217734010563
15,0.00027153693372383714,0.016478377763719253,-35.66171090489342
16,0.0002713398134801537,0.016472395499142003,-35.66486477870755
17,0.0002853985643014312,0.016893743347802796,-35.44548215935929
18,0.00027954872348345816,0.016719710627982116,-35.53542486540189
19,0.0002724916266743094,0.0165073203965486,-35.646468385066576
20,0.000286804890492931,0.016935314892051197,-35.4241344750917
21,0.00028075388399884105,0.01675571198125705,-35.516742269183425
22,0.00028230625321157277,0.01680197170606988,-35.49279501926752
23,0.00026863423408940434,0.016390065103269246,-35.7083864271447
24,0.0002684344071894884,0.01638396799281201,-35.71161818254071
25,0.00026281632017344236,0.016211610659445357,-35.803476697774016
26,0.00026820291532203555,0.01637690188411824,-35.71536505748433
27,0.0002699002798181027,0.01642864205642398,-35.68796665190075
28,0.0002618691942188889,0.016182372947713474,-35.81915588125525
29,0.00029036516207270324,0.017040104520592098,-35.370554913713626
30,0.0002480920229572803,0.0157509372088546,-36.05387199618684
31,0.0002599050058051944,0.016121569582555985,-35.85185355848593
32,0.000276706152362749,0.01663448683797456,-35.57981184525517
33,0.00028008955996483564,0.016735876432527688,-35.52703078731457
34,0.00029301553149707615,0.017117696442485366,-35.3310935894724
35,0.00027865261654369533,0.0166928911978631,-35.549368745702665
36,0.0002649831585586071,0.016278303307120403,-35.76781727487685
37,0.0002744279336184263,0.016565866521810028,-35.61571684514478
38,0.0002888272574637085,0.016994918577731066,-35.393618235418735
39,0.0002698458847589791,0.01642698647832216,-35.68884200686019
40,0.00029084717971272767,0.017054242279055602,-35.36335143112436
41,0.00028168733115307987,0.01678354346236455,-35.5023268490643
42,0.0002872297482099384,0.016947853793620547,-35.41770582485559
43,0.0002691878180485219,0.01640694420202988,-35.69944597769066
44,0.00026830093702301383,0.0163798942921807,-35.713778105810846
45,0.0002514559600967914,0.015857362961627364,-35.995380661219095
46,0.00027274098829366267,0.01651487173106902,-35.64249590140139
47,0.00028573974850587547,0.016903838277322565,-35.44029341850245
48,0.0002836555941030383,0.016842078081490963,-35.472086470926726
49,0.000283954810583964,0.01685095874376185,-35.467507693739954
50,0.0002741072094067931,0.01655618341909732,-35.620795417519545
51,0.0002874556230381131,0.016954516302098186,-35.41429191521263
52,0.0002835901395883411,0.016840134785337708,-35.47308873618802
53,0.0002851230383384973,0.016885586704005796,-35.44967689673898
54,0.00027251263963989913,0.016507956858433426,-35.64613349539423
55,0.00027565276832319796,0.01660279399147017,-35.596376416340064
56,0.0002706459490582347,0.01645132058706032,-35.67598468904793
57,0.0002729611296672374,0.016521535330205766,-35.63899193153132
58,0.00027211973792873323,0.0164960521922287,-35.65239955968709
59,0.0002658792363945395,0.01630580376413685,-35.75315577190337
60,0.00030150855309329927,0.017364001644013378,-35.20700363429184
61,0.00028549411217682064,0.016896571018310803,-35.444028438996895
62,0.00028951733838766813,0.017015209031559623,-35.38325422469842
63,0.00027757653151638806,0.016660628184927122,-35.56617255305744
64,0.0002835693012457341,0.016839516063287985,-35.47340786962947
65,0.00026650732615962625,0.016325052102815055,-35.74290847924588
66,0.0002604092296678573,0.016137200180572134,-35.84343627159204
67,0.0002655689313542098,0.016296285814694396,-35.758227340128265
68,0.0002908593451138586,0.017054598943213487,-35.36316978053745
69,0.00029029673896729946,0.017038096694387536,-35.37157842764474
70,0.0002799798676278442,0.01673259895018835,-35.52873196130924
71,0.00028607924468815327,0.01691387728133775,-35.435136495151895
72,0.00029891205485910177,0.01728907327936063,-35.24456569894751
73,0.0002853556943591684,0.01689247448893052,-35.4461345655084
74,0.00026731134857982397,0.016349658974419742,-35.72982603080454
75,0.0002641670289449394,0.016253215957001844,-35.78121388238655
76,0.00027579593006521463,0.016607104806835374,-35.594121470189826
77,0.0002691550471354276,0.01640594548130121,-35.69997471978652
78,0.00027659308398142457,0.01663108787726842,-35.58158683323798
79,0.00027957340353168547,0.01672044866418618,-35.53504146405727
80,0.0002672377449925989,0.01634740789827546,-35.73102201569598
81,0.00028113170992583036,0.016766982731721003,-35.51090165886286
82,0.0002636817516759038,0.016238280440856533,-35.789199248925186
83,0.0002773548476397991,0.016653973929359897,-35.56964239070105
84,0.0002631873358041048,0.016223049522334103,-35.79735012180873
85,0.00027371724718250334,0.01654440229148528,-35.62697836421818
86,0.0002733067376539111,0.016531991339639368,-35.63349661794912
87,0.00027792557375505567,0.01667109995636328,-35.56071489099945
88,0.00026585065643303096,0.01630492736668983,-35.75362262997381
89,0.000282419117866084,0.016805330043354817,-35.49105907823072
90,0.00028087114333175123,0.01675921070133529,-35.51492877870503
91,0.0002544421295169741,0.015951242256231145,-35.94410978314807
92,0.00026617830735631287,0.016314971877276187,-35.74827340970024
93,0.000279911735560745,0.01673056291822678,-35.52978892950664
94,0.0002860867534764111,0.016914099251110332,-35.435022506368334
95,0.00027583559858612716,0.016608299087688877,-35.59349685687922
96,0.00027148061781190336,0.016476668893071297,-35.662611711499565
97,0.0002754793968051672,0.016597572015363188,-35.599108766249856
98,0.0002659442834556103,0.01630779824058448,-35.75209340520564
99,0.0002650646201800555,0.016280805268169492,-35.76648236378469
100,0.000259195949183777,0.016099563633334195,-35.863717900733576
101,0.0002674614661373198,0.01635424917681395,-35.72738779061074
102,0.00027606499497778714,0.016615203729650356,-35.58988658379869
103,0.0002593379467725754,0.016103973012041948,-35.86133931868596
104,0.0002889020543079823,0.016997119000230078,-35.39249369988794
105,0.0002711081178858876,0.016465361152610276,-35.66857477992138
106,0.0002731850545387715,0.016528310698276805,-35.635430638078034
107,0.00028021217440254986,0.016739539252994685,-35.52512999810459
108,0.0002854692575056106,0.016895835507769675,-35.44440654544421
109,0.00026620575226843357,0.016315812951503018,-35.74782564370554
110,0.00027864964795298874,0.016692802279814758,-35.54941501296713
111,0.0002822073583956808,0.016799028495591072,-35.49431666453477
112,0.00027177148149348795,0.016485493061885893,-35.657961181694695
113,0.0002699018514249474,0.01642868988766138,-35.687941363368495
114,0.00028979784110561013,0.017023449741624348,-35.37904854197532
