t,mse_t,rmse_t,mse_db_t
0,0.5685696601867676,0.7540355828386135,-2.4521631869591105
1,1.0531229972839355,1.0262178118138154,0.22479096657675857
2,2.932828426361084,1.7125502697325659,4.6728665702619185
3,6.300676345825195,2.510114807299697,7.99387171277992
4,12.627190589904785,3.5534758462531846,11.013067355891932
5,21.723052978515625,4.660799607204286,13.3692086136558
6,35.40757369995117,5.950426346065563,15.490961677966554
7,52.05612564086914,7.21499311440206,17.164718419252445
8,76.0667495727539,8.721625397410389,18.81194858705696
9,109.54753112792969,10.466495646964637,20.396025943148082
10,156.619384765625,12.514766668445121,21.948455136333664
11,229.42820739746094,15.146887713238682,23.60646811838869
12,349.7414855957031,18.701376569539022,25.437471504581808
13,551.0106811523438,23.473616703702557,27.411600175823885
14,912.7493896484375,30.21174257881259,29.603515512110235
15,1640.5281982421875,40.503434400581234,32.1498369966308
