t,mse_t,rmse_t,mse_db_t
0,1.2875034809112549,1.1346821056627512,1.0974841187905884
1,2.441762924194336,1.5626141315738624,3.8770349510748563
2,7.475855827331543,2.734201131469948,8.73660917372645
3,20.472116470336914,4.524612300555365,13.111627436822133
4,49.1461181640625,7.010429242497388,16.914892205098656
5,105.70817565917969,10.281448130452231,20.24108577717621
6,210.5920867919922,14.51179130197207,23.234420481071165
7,396.5314636230469,19.91309779072676,25.982776530300093
8,728.6703491210938,26.993894663814146,28.625310976775484
9,1327.77099609375,36.43859212557135,31.231231776607938
10,2425.94873046875,49.25392096542924,33.848816183319585
11,4459.1728515625,66.77703835572899,36.492543072957424
12,8236.9833984375,90.75782830388518,39.15768190668126
13,15406.3388671875,124.12227385601466,41.87699446071667
14,28825.08984375,169.7795330531628,44.597706696036504
15,54271.4296875,232.96229241553235,47.34571262471565
