t,mse_t,rmse_t,mse_db_t
0,0.7747734785079956,0.8802121781184328,-1.1082525415680835
1,0.8684898018836975,0.9319280025214918,-0.6123527682729043
2,1.6323450803756714,1.2776326077459323,2.128119746757106
3,3.569766044616699,1.8893824505950878,5.526397542462496
4,7.956665992736816,2.820756280279602,9.00731127502338
5,14.762232780456543,3.842165116240652,11.691520492821276
6,25.615020751953125,5.061128406981306,14.084947120552284
7,42.55413818359375,6.523353292869684,16.28941799506694
8,69.06897735595703,8.310774774710058,18.392830258345427
9,110.08853149414062,10.492308206211854,20.41742078569982
10,170.73858642578125,13.066697609793426,22.323316815015836
11,274.22119140625,16.55962534015338,24.381010133826692
12,485.3514709472656,22.0306938371733,26.860563501717664
13,915.5638427734375,30.25828552270332,29.61688633288176
14,1913.5487060546875,43.744127675091285,32.8183952091201
15,3888.880126953125,62.36088619441777,35.89824556414329
