t,mse_t,rmse_t,mse_db_t
0,1.7772070169448853,1.3331192808390724,2.497380192967353
1,4.480849266052246,2.116801659592189,6.513603346689447
2,21.169206619262695,4.601000610656631,13.257045818109606
3,121.86932373046875,11.03944399553115,20.858944011788466
4,823.0196533203125,28.688319109357252,29.154102060830503
5,5660.23583984375,75.23453887573014,37.52834526914229
6,42581.671875,206.3532696009443,46.29222709047646
7,323407.9375,568.6896671296217,55.09750674723588
8,2354879.5,1534.5616637984933,63.719686890343496
9,15796223.0,3974.446250737328,71.98553256172752
10,102938520.0,10145.862210773415,80.12577919884096
11,675144000.0,25983.533247039362,88.29396412439291
12,4441354240.0,66643.48610329445,96.47515413646956
13,27909459968.0,167061.24615840742,104.45751433221461
14,180092354560.0,424372.89564721263,112.55495276157221
15,1139638796288.0,1067538.6626666035,120.56767225340167
