t,mse_t,rmse_t,mse_db_t
0,1.7086843252182007,1.3071665254351492,2.3266183540706145
1,3.3688294887542725,1.835437138328162,5.274790299876085
2,10.361652374267578,3.218952061505045,10.154290179385733
3,41.790428161621094,6.46455165975345,16.210768207075606
4,206.4060516357422,14.366838609650426,23.147224262569218
5,1223.5186767578125,34.9788318380962,30.876106031532345
6,7330.263671875,85.61695902024901,38.651195966303256
7,49762.4921875,223.07508195112246,46.9690212240977
8,352819.96875,593.9865055285347,55.47553157164189
9,2595404.5,1611.025915371941,64.1420505329344
10,15504982.0,3937.6366008051073,71.90471266393712
11,92437608.0,9614.447878063515,79.65848698751668
12,599103936.0,24476.59976385609,87.7750217283267
13,3264315392.0,57134.18759376911,95.1379211282324
14,20720357376.0,143945.67508612407,103.16397241666164
15,127889309696.0,357616.1485391844,111.06834243195811
