t,mse_t,rmse_t,mse_db_t
0,0.5174972414970398,0.7193728112022582,-2.860919608581111
1,1.4674941301345825,1.2114017212034092,1.6657637277807882
2,7.8034138679504395,2.7934591222980942,8.922846411075891
3,50.666412353515625,7.118034304041785,17.047201533486227
4,342.1727294921875,18.497911490008473,25.342453941501475
5,2535.346435546875,50.35222373983969,34.04037310717329
6,19482.701171875,139.5804469539878,42.896491693143595
7,151867.140625,389.7013479897138,51.81463816068223
8,1166239.75,1079.9258076368023,60.66787839787352
9,8977015.0,2996.1667176577475,69.53131950861487
10,63362900.0,7960.081657872613,78.0183504587272
11,467327520.0,21617.759365854734,86.69621356526618
12,3470988544.0,58915.096062045086,95.40453180284551
13,24594362368.0,156825.8982693866,103.90835567547973
14,158097637376.0,397614.9360574877,111.9892537984851
15,1222468042752.0,1105652.7677132636,120.87237514799446
