t,mse_t,rmse_t,mse_db_t
0,0.8326334357261658,0.9124874989424051,-0.7954615331014424
1,2.0091381072998047,1.417440689164737,3.030097909924975
2,4.529411315917969,2.128241366931385,6.560417607629857
3,7.445398807525635,2.728625809363687,8.71887965388259
4,10.121929168701172,3.181497944161079,10.052632938747784
5,9.631889343261719,3.1035285310854994,9.837114845151948
6,9.653063774108887,3.106938006157974,9.84665175417506
7,15.846536636352539,3.9807708595638283,11.999343590410563
8,26.580303192138672,5.15560890604967,14.24559930478865
9,29.30126953125,5.413064707838804,14.668864373668116
10,37.076690673828125,6.089063201661494,15.691009637077917
11,67.53208923339844,8.217791019087699,18.295101856523758
12,168.58810424804688,12.984148191084653,22.26826927099546
13,297.5036315917969,17.248293584925925,24.734922714785235
14,835.0010375976562,28.89638450736798,29.21687015151454
15,1326.2166748046875,36.41725792539421,31.226144840873282
