t,mse_t,rmse_t,mse_db_t
0,0.8013662099838257,0.8951905998075637,-0.9616897376624536
1,1.4370574951171875,1.1987733293317746,1.574741441346548
2,2.579709529876709,1.6061474184758724,4.11570808027753
3,4.014542102813721,2.0036322274343963,6.036360169716301
4,4.893318176269531,2.2120845771058417,6.896034556343609
5,4.340832710266113,2.0834665128737044,6.375730490480383
6,3.3794476985931396,1.8383274187677068,5.288457295520641
7,4.850440502166748,2.202371563148859,6.857811816894872
8,7.023112773895264,2.650115615194036,8.46529642172116
9,8.244482040405273,2.871320609128363,9.161633762861971
10,5.2897138595581055,2.2999377947149147,7.23432180054846
11,3.2801549434661865,1.8111198037308816,5.1589435880407075
12,1.5445640087127686,1.242804895674606,1.888059107305324
13,2.1347298622131348,1.4610714774483604,3.293429253690424
14,3.9823544025421143,1.995583724763788,6.001399066756978
15,9.148338317871094,3.02462201239611,9.613422170264998
