t,mse_t,rmse_t,mse_db_t
0,0.7774306535720825,0.8817202807988952,-1.093383394254269
1,0.8759499192237854,0.9359219621441659,-0.5752072308591415
2,1.6582798957824707,1.2877421697616611,2.1965783558375533
3,3.642747163772583,1.9085982195770232,5.614290287250352
4,8.171245574951172,2.8585390630444727,9.12288262786603
5,15.242737770080566,3.9041948939673294,11.830629782669318
6,26.657154083251953,5.163056660860111,14.258137822904013
7,44.707664489746094,6.6863790267787016,16.503819830930702
8,73.35813903808594,8.564936604440568,18.654483055444405
9,118.49811553955078,10.885683972059393,20.737114438711693
10,186.49217224121094,13.656213686128778,22.70660607598902
11,305.2723083496094,17.47204362258775,24.84687410664842
12,552.6158447265625,23.507782641639395,27.424233329486825
13,1066.534423828125,32.65783862762698,30.27974877448205
14,2277.64697265625,47.72469981735087,33.5748641082798
15,4712.06005859375,68.6444466697325,36.732108172097824
