t,mse_t,rmse_t,mse_db_t
0,0.9263713359832764,0.9624818626775656,-0.3321489145869916
1,1.8173798322677612,1.348102307789643,2.594457043132738
2,4.531581401824951,2.1287511366585226,6.562497857293524
3,9.253639221191406,3.0419794905934863,9.663125633181785
4,17.89312171936035,4.2300262078810285,12.526861162644362
5,28.01788902282715,5.29319270599769,14.474354107401258
6,44.724853515625,6.687664279524279,16.5054892682555
7,62.32072830200195,7.894347870597162,17.94632520012589
8,90.32181549072266,9.50377901104201,19.55792658430625
9,120.46746826171875,10.975767319951656,20.808697833266365
10,170.17820739746094,13.045236962104633,22.309039446263746
11,246.94537353515625,15.71449565004096,23.92600894166433
12,397.7203369140625,19.94292698963877,25.995777986393385
13,816.8428344726562,28.58046246079052,29.121385036715882
14,2009.2633056640625,44.82480681122968,33.03036852977188
15,6482.8330078125,80.5160419283791,38.11764834695666
