t,mse_t,rmse_t,mse_db_t
0,0.3453054428100586,0.5876269588863827,-4.617965761140701
1,0.6752639412879944,0.8217444501108567,-1.7052644074000025
2,2.1258907318115234,1.458043460192982,3.2754093855471185
3,11.214098930358887,3.3487458742578373,10.497643831089567
4,74.54109191894531,8.63371831362046,18.723957502490435
5,546.3489990234375,23.3741095878204,27.374701517341062
6,4075.083251953125,63.83637875031074,36.10136485589989
7,30640.345703125,175.04383937495487,44.86293660964242
8,228516.203125,478.0336840903578,53.589169994968614
9,1708822.125,1307.2192337171298,62.3269685841916
10,12491926.0,3534.391885459223,70.966294028807
11,93290904.0,9658.721654546216,79.69839301461577
12,701724608.0,26490.085088576066,88.46166706586135
13,5265393152.0,72563.02882322375,97.2143080427165
14,39911251968.0,199778.00671745627,106.01095351293566
15,295472594944.0,543573.9093665185,114.70517206311932
