t,mse_t,rmse_t,mse_db_t
0,0.7433977127075195,0.8622051453729093,-1.2877877947923688
1,2.098844528198242,1.4487389441159653,3.2198026943217473
2,9.617362976074219,3.101187349399294,9.8305600738761
3,51.81108093261719,7.19799145127425,17.144226530509492
4,323.3381652832031,17.981606304310056,25.09656969670764
5,2191.06884765625,46.80885437239679,33.40656024154697
6,15650.353515625,125.10137295659469,41.94524151987976
7,113398.0859375,336.74632282699093,50.546057241001215
8,825267.375,908.4422793991922,59.16594676640263
9,6042713.0,2458.193035544605,67.8123196782512
10,44031744.0,6635.641943323946,76.4376588724414
11,319337248.0,17870.009736986714,85.04249578286996
12,2333104640.0,48302.221895064,93.67934217385897
13,17170144256.0,131034.8970923395,102.34773943927463
14,125584703488.0,354379.32147347427,110.98936744534015
15,912924016640.0,955470.5734034932,119.6043463237855
