t,mse_t,rmse_t,mse_db_t
0,1.784296989440918,1.3357758005896492,2.514671427198076
1,1.901762843132019,1.3790441773677953,2.7915635784806763
2,2.488572359085083,1.5775209536120536,3.9595027304648567
3,4.767685890197754,2.1835031234687423,6.7830763501920055
4,5.485485076904297,2.3421112434947013,7.392150379103727
5,6.231701850891113,2.496337687671905,7.946066668066376
6,4.688097953796387,2.165201596571642,6.709966773165236
7,4.286323070526123,2.070343708306938,6.3208490176389684
8,2.8393802642822266,1.6850460718574511,4.5322355935231
9,3.20810866355896,1.7911193884157919,5.0624907008120275
10,2.726262331008911,1.6511397066901732,4.355676429249558
11,3.162787675857544,1.7784228057066587,5.000700378535877
12,2.5610740184783936,1.6003355955793752,4.084221303435535
13,2.646116256713867,1.6266887399603733,4.226089209324243
14,2.54203724861145,1.5943767586776503,4.051819100055152
15,2.7723441123962402,1.6650357691041475,4.4284713533356
