t,mse_t,rmse_t,mse_db_t
0,0.822632908821106,0.9069911294059639,-0.8479392084977634
1,1.707890510559082,1.3068628507074038,2.3246002549574176
2,3.480151414871216,1.8655163936216739,5.4159813969730175
3,5.662342071533203,2.3795676228115905,7.529961022759624
4,8.15381908416748,2.855489289800871,9.113610711559462
5,10.140966415405273,3.1844884071708086,10.060793444330528
6,10.528179168701172,3.2447155759328385,10.22353267162371
7,17.97495460510254,4.239688031577623,12.546678022661375
8,24.479888916015625,4.947715524968632,13.88809442751673
9,35.85258865356445,5.987703120025612,15.545205183684248
10,28.959056854248047,5.381361988776452,14.617844135449417
11,29.062240600585938,5.390940604438704,14.63329093890394
12,42.764122009277344,6.539428263179996,16.310795599512446
13,70.72286224365234,8.409688593738316,18.495598288074728
14,158.69729614257812,12.597511505951408,22.005695273826895
15,309.59063720703125,17.595187899168092,24.907878180612197
