t,mse_t,rmse_t,mse_db_t
0,1.482580542564392,1.2176126406063597,1.710182961281168
1,1.093186378479004,1.0455555358176838,0.3869421157874616
2,1.0810757875442505,1.039747944236607,0.3385614072346344
3,1.2690722942352295,1.126531088889796,1.0348636290883633
4,1.446760892868042,1.2028137398899474,1.6039676091267017
5,1.4832639694213867,1.217893250421147,1.7121844722628206
6,1.3632429838180542,1.1675799689177844,1.3457327118780127
7,1.080005168914795,1.039232971433641,0.33425834029358004
8,0.6951594948768616,0.8337622532094275,-1.5791554102422458
9,0.4127974212169647,0.6424931293149871,-3.842630244494993
10,0.24433207511901855,0.49429958033465754,-6.120195165189476
11,0.17356446385383606,0.4166106861973611,-7.60539188906047
12,0.19295060634613037,0.4392614328007074,-7.145538523226193
13,0.26396194100379944,0.5137722657012536,-5.784586867800615
14,0.34367311000823975,0.586236394305437,-4.6385444700707295
15,0.42254438996315,0.6500341452286564,-3.74127659960725
