t,mse_t,rmse_t,mse_db_t
0,0.8956114649772644,0.9463675105249886,-0.4788035553015449
1,0.6386983394622803,0.7991860480903556,-1.9470421295318792
2,0.5623036026954651,0.7498690570329363,-2.500291339443618
3,0.5278862118721008,0.7265577828859181,-2.774596814089012
4,0.5356519222259521,0.7318824510985027,-2.711173322513481
5,0.5185738801956177,0.72012074001213,-2.8518936179071144
6,0.44322001934051514,0.665747714483884,-3.5338063164433224
7,0.35272926092147827,0.5939101454946516,-4.525585116122838
8,0.2433634102344513,0.4933187714191011,-6.137447175102285
9,0.1599791795015335,0.3999739735301955,-7.9593653494388485
10,0.10520928353071213,0.3243598056644999,-9.779459369096958
11,0.0862814337015152,0.2937370145240725,-10.64082647024713
12,0.08118483424186707,0.2849295250441187,-10.905250916975
13,0.09709318727254868,0.3115977972844941,-10.128112421181417
14,0.11586596816778183,0.34039090494280516,-9.360441050827834
15,0.11207422614097595,0.33477488875507966,-9.504942512028729
