t,mse_t,rmse_t,mse_db_t
0,0.5891951322555542,0.7675904717071169,-2.297408498186885
1,1.5357327461242676,1.2392468463241162,1.8631564474360152
2,3.58624529838562,1.8937384450830637,5.546399918886955
3,6.332714080810547,2.5164884424154517,8.015898802696388
4,8.996393203735352,2.9993988070503983,9.540684288090201
5,11.062320709228516,3.3260067211640623,10.438462450054345
6,11.561086654663086,3.4001597984011114,10.629986563980381
7,10.340312957763672,3.215635700411922,10.145336832233987
8,7.674718379974365,2.770328207988065,8.850624482186602
9,4.243671417236328,2.0600173342077315,6.277417495917948
10,1.8877575397491455,1.37395689151776,2.759462135261624
11,1.533055067062378,1.2381660094924178,1.8555775491425983
12,3.777675151824951,1.9436242311272391,5.772246095319396
13,8.382186889648438,2.895200664832826,9.233573396567618
14,14.379733085632324,3.79206185150405,11.577508248150936
15,20.40042495727539,4.516682959570595,13.096392142238155
