t,mse_t,rmse_t,mse_db_t
0,0.8185098171234131,0.9047153238026938,-0.8697610733700221
1,1.5766565799713135,1.2556498636050233,1.9773710761848
2,3.475080966949463,1.8641569051315028,5.409649278008731
3,6.450725078582764,2.53982776553505,8.096085332289288
4,9.920809745788574,3.1497316942540636,9.965471211234922
5,12.998910903930664,3.6054002418498095,11.139069670586085
6,14.935653686523438,3.8646673448724456,11.742242350578165
7,14.240246772766113,3.7736251500071005,11.535175153627755
8,11.326287269592285,3.3654549870102684,10.54087572478272
9,7.407668590545654,2.721703251742492,8.696815443384526
10,3.731577157974243,1.9317290591525105,5.718924259741041
11,2.0677335262298584,1.4379615871885654,3.1549456945831587
12,3.327540159225464,1.8241546423550454,5.221233055666289
13,7.711297035217285,2.77692222347283,8.871274322483753
14,13.988523483276367,3.7401234582933713,11.457718762569051
15,21.221508026123047,4.606680803585489,13.267762421550149
