t,mse_t,rmse_t,mse_db_t
0,1.0246812105178833,1.012265385419201,0.10588772662837512
1,1.0843675136566162,1.0413296853814435,0.3517649816425244
2,1.637155294418335,1.2795136945020693,2.1408987691354975
3,2.1292777061462402,1.459204477153987,3.2823230699100674
4,2.147447347640991,1.4654171241121046,3.319225243499374
5,1.5770975351333618,1.2558254397540136,1.978585529740168
6,0.9036101698875427,0.9505841203636545,-0.44018889857488275
7,0.6957037448883057,0.8340885713689558,-1.575756588818943
8,1.1347464323043823,1.0652447757695798,0.5489882597496113
9,1.9146602153778076,1.383712475689154,2.8209171319779553
10,2.4600391387939453,1.5684511910779835,3.909420167078598
11,2.324338674545288,1.5245781956151965,3.662994084730144
12,1.6453487873077393,1.2827114980804293,2.162579754450823
13,1.0719963312149048,1.035372556722895,0.3019329903599689
14,1.3023734092712402,1.1412157592984948,1.1473552058823107
15,1.9819226264953613,1.4078077377594433,2.970866957890025
