t,mse_t,rmse_t,mse_db_t
0,0.012843159027397633,0.11332766223388548,-18.913281398634016
1,0.009874643757939339,0.09937124210725827,-20.054785632206816
2,0.0066194357350468636,0.0813599147925246,-21.791790298352197
3,0.003265826962888241,0.05714741431498227,-24.860068297198715
4,0.003231497947126627,0.05684626590310596,-24.905961156354323
5,0.0025931531563401222,0.05092301205093943,-25.86171832251436
6,0.0016123498789966106,0.04015407674192759,-27.925407106514108
7,0.0019553552847355604,0.04421939941626933,-27.08774320528243
8,0.00843376386910677,0.09183552618190179,-20.73978562650008
9,0.0044267745688557625,0.0665340106175463,-23.539125936739175
10,0.005347199738025665,0.07312454948938601,-22.718735930640086
11,0.007722470909357071,0.08787759048447488,-21.12243719016087
12,0.012485887855291367,0.11174026962242112,-19.035805700972535
13,0.010212287306785583,0.1010558623078621,-19.908769754975964
14,0.0068899099715054035,0.08300548157504661,-21.617864528578114
15,0.017824092879891396,0.13350690199346024,-17.489925634274144
