t,mse_t,rmse_t,mse_db_t
0,0.0021726409904658794,0.046611597167077204,-26.630120310383166
1,0.0005299767944961786,0.023021224869588904,-32.75743145951841
2,0.0005789055139757693,0.02406045539834542,-32.37392313833014
3,0.0005115215317346156,0.022616841771887948,-32.911360805897175
4,0.0006630443967878819,0.025749648478918735,-31.784573906986218
5,0.0004984727129340172,0.022326502478758673,-33.02358610565038
6,0.0005134119419381022,0.022658595321380853,-32.89534033877462
7,0.0006735642091371119,0.025953115595957105,-31.716209977958453
8,0.0012910626828670502,0.03593136071549546,-28.890526716279204
9,0.0013846795773133636,0.037211282930226464,-28.586507131731015
10,0.002631307113915682,0.051296268031073,-25.798284601260146
11,0.0036186291836202145,0.06015504287771903,-24.414559186211918
12,0.0019122083904221654,0.04372880504223921,-27.184647805333498
13,0.0031830042134970427,0.05641811954945895,-24.97162786481949
14,0.001833444694057107,0.04281874232222505,-27.367321860186657
15,0.00360115896910429,0.060009657298673934,-24.435577067650847
