t,mse_t,rmse_t,mse_db_t
0,0.13657458126544952,0.3695599833118428,-8.646301223483126
1,0.031038785353302956,0.17617827718905346,-15.080952824099676
2,0.018446367233991623,0.13581740401727468,-17.340891495902223
3,0.02518480457365513,0.1586972103524669,-15.988614147849274
4,0.020653804764151573,0.14371431648987365,-16.84999932585384
5,0.02581612579524517,0.16067397360881186,-15.881089313952995
6,0.027803262695670128,0.16674310389239527,-15.559042369027116
7,0.01512465812265873,0.1229823488255885,-18.20314433344641
8,0.08154457807540894,0.2855601128929055,-10.886049100401642
9,0.13516606390476227,0.36764937631493716,-8.691323328685616
10,0.11991564929485321,0.3462883903552835,-9.211241366767368
11,0.12932012975215912,0.3596110812421652,-8.883338683149011
12,0.1619110107421875,0.40238167297006394,-7.907236160892851
13,0.2012614905834198,0.44862176784393754,-6.962393151612599
14,0.24902009963989258,0.4990191375487443,-6.037655974408209
15,0.2492409646511078,0.4992403876401706,-6.033805765400398
