t,mse_t,rmse_t,mse_db_t
0,0.11465828120708466,0.3386122874425626,-9.40594572834094
1,0.06160932034254074,0.24821224857476462,-12.103535822001346
2,0.06500182300806046,0.25495455086752317,-11.870744631842383
3,0.05109301954507828,0.22603765072456022,-12.916384302006055
4,0.058719243854284286,0.24232053948083784,-12.312195455992445
5,0.07082515209913254,0.26612995340459616,-11.498124841461339
6,0.07640372961759567,0.2764122457808186,-11.168854409948992
7,0.06772536039352417,0.2602409660171207,-11.692486752353268
8,0.04848252236843109,0.220187470961522,-13.144147934994784
9,0.08041582256555557,0.2835768371456942,-10.946584913406658
10,0.10206955671310425,0.31948326515344155,-9.911037713608403
11,0.1106514185667038,0.3326430798418987,-9.5604301398487
12,0.1288881003856659,0.3590098889803259,-8.897871771027647
13,0.12109962105751038,0.34799370835908855,-9.168572158403473
14,0.13016493618488312,0.3607837803794443,-8.855059902094313
15,0.14228811860084534,0.37721097359547395,-8.468313630325213
