t,mse_t,rmse_t,mse_db_t
0,0.04759826883673668,0.2181702748697372,-13.224088424123766
1,0.008714122697710991,0.09334946543880683,-20.597763293482025
2,0.011738458648324013,0.10834416757871193,-19.303889256160364
3,0.010041731409728527,0.1002084398128647,-19.981913990573485
4,0.01181281078606844,0.10868675533876443,-19.27646752374825
5,0.011014125309884548,0.10494820298549445,-19.580499867723134
6,0.014993374235928059,0.12244743458287748,-18.24100618843685
7,0.019978616386651993,0.14134573352829577,-16.994345920083887
8,0.014690601266920567,0.12120479061043984,-18.32960428746034
9,0.022561119869351387,0.15020359472845976,-16.466393470198575
10,0.02300405316054821,0.15167087116697198,-16.381956374529395
11,0.030324118211865425,0.17413821582830527,-15.182118190282134
12,0.03248102590441704,0.18022493141742915,-14.88370262140499
13,0.04934080317616463,0.22212789823920054,-13.067937852853333
14,0.06285952031612396,0.2507180095568006,-12.016289374268588
15,0.07353691011667252,0.27117689819870816,-11.334946223250695
