t,mse_t,rmse_t,mse_db_t
0,0.0015571578405797482,0.03946083932938766,-28.076673631425706
1,0.00102878303732723,0.032074647890931396,-29.876762050496296
2,0.0008210421074181795,0.028653832333881267,-30.856345693721224
3,0.0004617998201865703,0.02148952815178989,-33.355462405223406
4,0.0004361439496278763,0.020884059701788738,-33.603701478618945
5,0.0007448371034115553,0.027291703930160817,-31.279386974865098
6,0.0006507770158350468,0.025510331550864775,-31.865677938917226
7,0.0005826089181937277,0.024137293099967275,-32.34622871763483
8,0.004094399511814117,0.06398749496436094,-23.87809783238945
9,0.006899713072925806,0.0830645115131956,-21.61168969181004
10,0.004963490180671215,0.07045204170690311,-23.042128329533035
11,0.005864587612450123,0.07658059553470528,-22.317625213036244
12,0.007686510682106018,0.08767274765915585,-21.142707649337463
13,0.0055273426696658134,0.07434610056799087,-22.57483610335572
14,0.003773758187890053,0.06143092208236869,-24.232259316828937
15,0.005838239565491676,0.0764083736608212,-22.33718088204387
