t,mse_t,rmse_t,mse_db_t
0,0.03747539594769478,0.193585629496858,-14.262537699008824
1,0.028628326952457428,0.16919907491608052,-15.432040315294495
2,0.019989531487226486,0.14138433961095723,-16.991973847161354
3,0.012152117677032948,0.11023664398480637,-19.153480335627645
4,0.005705995950847864,0.0755380430700178,-22.436685408677004
5,0.0037536760792136192,0.06126725127842459,-24.255432072287203
6,0.008843556046485901,0.09404018314787514,-20.533730674728844
7,0.01732608489692211,0.13162858692898785,-17.612995619112446
8,0.10032470524311066,0.3167407539978249,-9.98592107562014
9,0.11009050160646439,0.3317988872893705,-9.582501494918915
10,0.059645749628543854,0.24422479323062976,-12.2442049882747
11,0.07231225073337555,0.2689093727138858,-11.407881207524877
12,0.08860284090042114,0.29766229338030226,-10.525523529707746
13,0.10800690203905106,0.32864403545333215,-9.665484906084622
14,0.08724486827850342,0.2953724230162718,-10.592601087111607
15,0.19284391403198242,0.4391399708885339,-7.147940624968427
