t,mse_t,rmse_t,mse_db_t
0,0.007781736087054014,0.0882141490184767,-21.08923502121288
1,0.00252999784424901,0.05029908393051518,-25.968798488760232
2,0.002165579004213214,0.0465357819770251,-26.644259678020802
3,0.0028110728599131107,0.05301955167589698,-25.51127897811933
4,0.0038915446493774652,0.062382246267487555,-24.098779823379104
5,0.004502296447753906,0.06709915385274173,-23.46565912848369
6,0.001316915499046445,0.036289330374731976,-28.804420910026867
7,0.001984707545489073,0.04455005662722633,-27.023034791969156
8,0.02696061134338379,0.16419686764181524,-15.69270264212092
9,0.018436402082443237,0.13578071321967358,-17.343238288463795
10,0.02866692841053009,0.16931310761583135,-15.426188381250503
11,0.018147598952054977,0.13471302443362698,-17.411808268731818
12,0.009363498538732529,0.09676517213715133,-20.285618529520143
13,0.021726030856370926,0.14739752662908195,-16.630196079926563
14,0.02592526748776436,0.16101325252215842,-15.862767540185455
15,0.019842416048049927,0.1408631110264498,-17.024054484896716
