t,mse_t,rmse_t,mse_db_t
0,0.0018048658967018127,0.04248371331112445,-27.43555061063592
1,0.0006979610770940781,0.02641895299011825,-31.56168795821813
2,0.0004533480678219348,0.02129197191013399,-33.43568230901426
3,0.0009561883052811027,0.030922294631561587,-30.19456572272674
4,0.0013262620195746422,0.03641788049261849,-28.773706671725723
5,0.0007466194219887257,0.02732433753979638,-31.269007168570475
6,0.0005462751723825932,0.023372530294826728,-32.62588537252691
7,0.0011943432036787271,0.03455927087886443,-29.228708574225223
8,0.006345685105770826,0.07965980859737755,-21.97521482853196
9,0.004952440038323402,0.07037357485820514,-23.05180773978798
10,0.004077841993421316,0.06385798300464333,-23.895696060994844
11,0.007664664648473263,0.0875480705011439,-21.155068420494793
12,0.006787555292248726,0.08238662083280711,-21.682866195731584
13,0.0062200273387134075,0.07886714993400869,-22.06207706462512
14,0.006780165713280439,0.08234176166004975,-21.687596914598124
15,0.0035857446491718292,0.05988108757505853,-24.454206409880545
