t,mse_t,rmse_t,mse_db_t
0,0.0005025484715588391,0.022417592902870705,-32.9882204352876
1,0.0003941910108551383,0.019854244152199253,-34.04293283609399
2,0.0005754447774961591,0.023988430075687718,-32.39996347063578
3,0.0005690936814062297,0.02385568446735976,-32.44816236295807
4,0.00015584177162963897,0.012483660185604178,-38.07316123320935
5,0.0003340732946526259,0.018277672024976974,-34.76158239861877
6,0.00046594420564360917,0.021585740794413548,-33.31666084665841
7,0.00043913128320127726,0.020955459508235012,-33.57405623160359
8,0.004659406375139952,0.06825984452912233,-23.31669410439435
9,0.0028628434520214796,0.053505545993116264,-25.432023997192577
10,0.0044792089611291885,0.06692689266004502,-23.487986766603612
11,0.00209436216391623,0.04576420177296038,-26.78948216549061
12,0.003021645126864314,0.054969492692440905,-25.19756542146043
13,0.004814768210053444,0.06938853082501058,-23.174246156044088
14,0.0022898605093359947,0.04785248697127449,-26.401909726255198
15,0.002825121395289898,0.05315187104223047,-25.48962885836826
