t,mse_t,rmse_t,mse_db_t
0,0.09785021096467972,0.31281018360130114,-10.094382336677326
1,0.05828031897544861,0.24141317067519039,-12.344780799477217
2,0.04846751317381859,0.2201533855606554,-13.14549262979838
3,0.02924382872879505,0.1710082709368031,-15.339657682759613
4,0.027141038328409195,0.1647453742246173,-15.66373541655182
5,0.02984842285513878,0.17276696112144468,-15.250786113823775
6,0.03346811980009079,0.18294294137815428,-14.753686851140401
7,0.03291952982544899,0.1814373991917019,-14.825463762444347
8,0.05067763105034828,0.22511692750734735,-12.951836946135302
9,0.08163359761238098,0.2857159386740281,-10.88131063616023
10,0.10275392979383469,0.3205525382738915,-9.882015596694979
11,0.11239077895879745,0.3352473399727393,-9.49269318763281
12,0.10231465101242065,0.31986661440735054,-9.90062172756458
13,0.10755866020917892,0.3279613699952769,-9.683546161492236
14,0.12220700830221176,0.3495811898575376,-9.129038875492533
15,0.11290285736322403,0.336010204254609,-9.472950667430752
