t,mse_t,rmse_t,mse_db_t
0,0.002932808129116893,0.05415540720109944,-25.32716348608769
1,0.0012756434734910727,0.03571615143728496,-28.942706885702187
2,0.002117759082466364,0.04601911648941518,-26.7412344701728
3,0.0012374336365610361,0.03517717493718101,-29.074780829383688
4,0.0011305774096399546,0.03362405998150662,-29.466996965397318
5,0.001409789896570146,0.03754716895546382,-28.50845606180938
6,0.0019296463578939438,0.04392774018651476,-27.145222759082614
7,0.0006351396441459656,0.025201976988838904,-31.971307786221463
8,0.004045316483825445,0.0636028024840529,-23.930474958558378
9,0.00731024332344532,0.08549996095581167,-21.360681671911266
10,0.011006197892129421,0.10491042794750874,-19.58362682812598
11,0.015600242651998997,0.12490093134960602,-18.06868646414474
12,0.011909018270671368,0.10912844849383395,-19.2412403845033
13,0.010238472372293472,0.10118533674546659,-19.89764837283535
14,0.007154505699872971,0.08458431119228299,-21.45420365989903
15,0.017512451857328415,0.1323346207812922,-17.566530456034055
