t,mse_t,rmse_t,mse_db_t
0,0.00013568770373240113,0.011648506502225988,-38.674595071164475
1,0.0002240497706225142,0.014968292174543967,-36.4965549637235
2,0.00019595626508817077,0.01399843795172057,-37.07840846757327
3,9.74753056652844e-05,0.009872958303633435,-40.1110539426731
4,0.0001641495036892593,0.012812084283568356,-37.847604260345
5,0.00020800055062863976,0.014422224191456732,-36.81935515351357
6,0.00015435501700267196,0.012423969454352018,-38.11479250074558
7,0.00016796652926132083,0.012960190170723609,-37.74777251639194
8,0.0012224361998960376,0.03496335510067702,-29.127737978535343
9,0.0013697746908292174,0.03701046731438577,-28.633508624616134
10,0.0016362435417249799,0.04045050731109537,-27.86152054603901
11,0.0015834388323128223,0.03979244692542571,-28.003987086116773
12,0.0019399195443838835,0.04404451775628703,-27.122162814897134
13,0.0009422731818631291,0.030696468556873593,-30.25823169207206
14,0.0010754686081781983,0.0327943380506178,-29.68402261700465
15,0.0018537610303610563,0.0430553252265159,-27.319462517905674
