t,mse_t,rmse_t,mse_db_t
0,0.005020566750317812,0.07085595776162942,-22.992472544401462
1,0.0017942276317626238,0.04235832423222883,-27.46122459314744
2,0.002398998476564884,0.04897957203329654,-26.19970027821946
3,0.002924986183643341,0.0540831413995465,-25.338761809943232
4,0.002405875362455845,0.04904972336778103,-26.187268752504302
5,0.0028322585858404636,0.05321896828989137,-25.478670979890346
6,0.005447531584650278,0.07380739518944072,-22.638002430459906
7,0.0018959797453135252,0.043542849531392924,-27.221663065261986
8,0.01381498109549284,0.11753714772569922,-18.596497050383682
9,0.013972131535410881,0.11820377124022262,-18.54737334512044
10,0.016710881143808365,0.12927057338701783,-17.770006496993943
11,0.013947551138699055,0.11809975079863232,-18.55502037573869
12,0.011776203289628029,0.10851821639535009,-19.28994705825731
13,0.02578633278608322,0.16058123422767437,-15.886104168388904
14,0.03170814737677574,0.17806781679117578,-14.988291319100838
15,0.03410295397043228,0.18466985127635827,-14.67208001139606
