t,mse_t,rmse_t,mse_db_t
0,0.021318018436431885,0.14600691228990456,-16.712531665365805
1,0.007375888992100954,0.0858829959427415,-21.32185628082516
2,0.011119942180812359,0.10545113646050648,-19.5389747090319
3,0.008094575256109238,0.08996985748632282,-20.918059348991875
4,0.006435040384531021,0.08021870345830218,-21.914487232391686
5,0.0037409430369734764,0.0611632490714275,-24.270189047171755
6,0.002698010066524148,0.051942372553861534,-25.689564342683646
7,0.002588871167972684,0.05088095093424143,-25.868895611644717
8,0.007580283563584089,0.0870648239163446,-21.20314547956811
9,0.041577331721782684,0.2039052027825251,-13.811433855117524
10,0.042011234909296036,0.2049664238583872,-13.766345523013218
11,0.042474180459976196,0.20609265018427075,-13.718749920973812
12,0.04827772453427315,0.219721925474617,-13.16253207619788
13,0.06753385812044144,0.2598727729494597,-11.704784388988603
14,0.04198124632239342,0.20489325592218358,-13.769446724019382
15,0.026340581476688385,0.16229781722712228,-15.793746420800156
