t,mse_t,rmse_t,mse_db_t
0,0.00013392978871706873,0.01157280383991143,-38.73122816291915
1,7.779946463415399e-05,0.008820400480372418,-41.09023391535153
2,5.838495053467341e-05,0.007641004550101604,-42.33699083401818
3,5.057859016233124e-05,0.007111862636632631,-42.96033280433554
4,4.377082586870529e-05,0.006615952378056034,-43.588152590337266
5,8.817561320029199e-05,0.009390187069504632,-40.54651511432777
6,8.131001959554851e-05,0.009017206862191224,-40.89855934271392
7,3.9077487599570304e-05,0.006251198892978075,-44.08073366056587
8,0.0008283767965622246,0.028781535688045288,-30.81772074513157
9,0.0008857768843881786,0.0297620040385082,-30.526756574376336
10,0.0011971803614869714,0.03460029423989009,-29.218404159278993
11,0.001124104019254446,0.03352766050971117,-29.491934993559138
12,0.0007635251968167722,0.02763195969917393,-31.171766263771428
13,0.0012480549048632383,0.035327820550711,-29.03766308600205
14,0.0007375616114586592,0.02715808556321044,-31.322016954868765
15,0.0011823388049378991,0.03438515384490666,-29.27258056423498
