t,mse_t,rmse_t,mse_db_t
0,0.9622525572776794,0.9809447269228168,-0.16710926052951497
1,0.43555116653442383,0.6599630039134192,-3.6096081875441905
2,0.11026878654956818,0.3320674427726515,-9.575474045834396
3,0.013843188062310219,0.11765707824993028,-18.587638810912257
4,0.0013300193240866065,0.03646942999399095,-28.761420490455354
5,0.00023700894962530583,0.015395094985913722,-36.252352544139434
6,0.00014370986900757998,0.011987905113387409,-38.42513406477033
7,0.00012195933231851086,0.011043519924304518,-39.137849618991474
8,0.0004541405360214412,0.021310573338637354,-33.42809731781645
9,0.0007580827223137021,0.027533302059754877,-31.202834013809042
10,0.00036494157393462956,0.01910344403333152,-34.377766592389825
11,0.0007689202320761979,0.027729410957973807,-31.141187116498067
12,0.0006594010046683252,0.025678804580204374,-31.80850395498026
13,0.0008501868578605354,0.029157963883998064,-30.704856126160887
14,0.0007307279156520963,0.02703197949932813,-31.36244301191686
15,0.0003760993422474712,0.019393280853106605,-34.24697426105767
