t,mse_t,rmse_t,mse_db_t
0,0.8630410432815552,0.9290000232947011,-0.6396855023282408
1,0.8050873875617981,0.8972666201089831,-0.9415697692893866
2,1.0496989488601685,1.0245481681503161,0.2106476231216485
3,1.2364357709884644,1.1119513348112247,0.9217156102906952
4,1.128464698791504,1.0622921908738217,0.5248797780469814
5,0.8502691984176636,0.9221004275119189,-0.7044355325266842
6,0.5505737662315369,0.7420065809893716,-2.5918448573656834
7,0.3012792766094208,0.5488891296149166,-5.210307400946501
8,0.1318083554506302,0.36305420456266607,-8.800570585501578
9,0.05789240077137947,0.24060839713397258,-12.37378440066239
10,0.035254016518592834,0.18776052971429547,-14.527913963324451
11,0.026346858590841293,0.16231715433324137,-15.79271159502449
12,0.020528368651866913,0.14327724401267256,-16.876455617664014
13,0.023339534178376198,0.15277281884673136,-16.319078160618396
14,0.031079741194844246,0.1762944729560296,-15.075226062842189
15,0.030951883643865585,0.17593147428435194,-15.093129159090036
