t,mse_t,rmse_t,mse_db_t
0,0.7335370779037476,0.8564677915156808,-1.3457792909810673
1,1.0073180198669434,1.0036523401392254,0.031666030948894947
2,2.2278342247009277,1.4925931209478782,3.478828714315942
3,4.092589378356934,2.0230149229199803,6.119981727763079
4,6.0971903800964355,2.4692489506115893,7.851297557459658
5,8.090327262878418,2.84435005983413,9.079660896700673
6,9.825103759765625,3.1345021550105248,9.923371455162387
7,11.41574764251709,3.37871982302722,10.575043596621555
8,12.739192962646484,3.5692006055483185,11.05141915992185
9,13.642128944396973,3.6935252732852626,11.348821501339524
10,14.447821617126465,3.8010290208213964,11.598023709002243
11,14.906303405761719,3.8608682191654404,11.733699566974703
12,14.932479858398438,3.864256701928385,11.74131937623542
13,14.831591606140137,3.8511805470712663,11.711877584912497
14,14.705439567565918,3.834767211652608,11.674780107482295
15,14.988664627075195,3.871519679282955,11.75762942326195
