t,mse_t,rmse_t,mse_db_t
0,0.4479391574859619,0.6692825692381074,-3.4878097118613267
1,0.7357288002967834,0.8577463496260321,-1.332822430533875
2,0.8987670540809631,0.9480332557885104,-0.4635285580462507
3,0.6809509992599487,0.8251975516565404,-1.6688413847879895
4,0.3563156723976135,0.5969218310613321,-4.481650749655424
5,0.15658815205097198,0.39571220862006773,-8.052411011129546
6,0.05647263303399086,0.23763971266181683,-12.481619628302472
7,0.019184257835149765,0.13850724831267772,-17.170549973170417
8,0.009016289375722408,0.09495414354161912,-20.449721581573055
9,0.007444371003657579,0.08628076844614667,-21.2817199115301
10,0.011590029112994671,0.10765699751058763,-19.359154731307044
11,0.015694011002779007,0.12527573988118773,-18.04266047250904
12,0.015570688992738724,0.12478256686227737,-18.076921697617365
13,0.01086231879889965,0.10422244863223877,-19.64077455219399
14,0.005624277982860804,0.0749951863979336,-22.4993322222739
15,0.010131841525435448,0.10065704905984205,-19.943116117325708
