t,mse_t,rmse_t,mse_db_t
0,1.5974279642105103,1.263893968737295,2.0342128282339242
1,1.9718828201293945,1.4042374514765636,2.9488110326074017
2,3.077807903289795,1.7543682348041403,4.882415105101934
3,4.285530090332031,2.070152190137728,6.320045487953911
4,4.892801761627197,2.2119678482354117,6.895576200976679
5,4.764699459075928,2.182819154001524,6.7803551202968535
6,4.156918525695801,2.0388522569563006,6.187715125534882
7,3.198716163635254,1.788495502827797,5.0497570490564625
8,2.3560121059417725,1.5349306518347245,3.72177517664386
9,1.5460119247436523,1.2433872786640743,1.8921283940791636
10,0.759443998336792,0.8714608415395335,-1.1950424564584783
11,0.401508092880249,0.6336466624864752,-3.9630569656758374
12,0.26879724860191345,0.5184566024287023,-5.705751810167319
13,0.2704688012599945,0.5200661508500573,-5.678828237997953
14,0.2617175877094269,0.5115834122696189,-5.821670913131247
15,0.33976390957832336,0.5828927084621349,-4.688227546706508
