t,mse_t,rmse_t,mse_db_t
0,0.4548417329788208,0.6744195526367995,-3.4213969444404784
1,0.6333336234092712,0.795822608003361,-1.9836745485364875
2,1.0118058919906616,1.0058856257003883,0.05097204081820474
3,1.337882161140442,1.1566685614904737,1.2641786304302702
4,1.5195428133010864,1.2326973729594326,1.8171294088748078
5,1.503663182258606,1.2262394473587146,1.7715056599745833
6,1.3471564054489136,1.1606706705387682,1.294180204298376
7,1.0750285387039185,1.036835830160165,0.3141999358847718
8,0.7988977432250977,0.8938107983377118,-0.9750880566111259
9,0.5556062459945679,0.7453899959045385,-2.5523288067069356
10,0.36416590213775635,0.6034615995552296,-4.38700720832907
11,0.2089792937040329,0.4571425310600983,-6.7989674295867255
12,0.10882770270109177,0.32989044045120763,-9.632605384724691
13,0.07229033857584,0.26886862698321645,-11.409197412057948
14,0.06329174339771271,0.25157850344914745,-11.986529413363822
15,0.07825355231761932,0.2797383640432955,-11.06495938549272
