t,mse_t,rmse_t,mse_db_t
0,0.9219094514846802,0.9601611591210509,-0.35311732581610583
1,1.2297710180282593,1.1089504127905176,0.8982425382595283
2,2.1473495960235596,1.4653837709022028,3.3190275485274725
3,3.3788135051727295,1.83815491870863,5.287642213962092
4,4.725943565368652,2.173923541748571,6.744885312203197
5,6.061542987823486,2.4620201030502344,7.825831894799062
6,7.2096662521362305,2.6850821686004753,8.579151609454478
7,8.23774528503418,2.8701472584231946,9.158083592379846
8,8.969797134399414,2.9949619587566407,9.527826209251186
9,9.487154006958008,3.080122401294794,9.771359506311892
10,9.862275123596191,3.1404259462047808,9.939771136882285
11,10.289543151855469,3.20773177679423,10.123960928350542
12,10.743025779724121,3.277655530973949,10.311266178965564
13,11.467997550964355,3.3864432006109824,10.594875915291748
14,12.408384323120117,3.522553665044738,10.937152363549906
15,13.978555679321289,3.7387906707010607,11.454623006725175
