t,mse_t,rmse_t,mse_db_t
0,0.7710564732551575,0.8780982139004483,-1.129138124485139
1,1.3285305500030518,1.1526189960273308,1.2337154560756751
2,2.3472580909729004,1.532076398543134,3.70560844742558
3,3.5820281505584717,1.8926246723950504,5.541289945739192
4,4.695985317230225,2.1670222235201524,6.717267303486166
5,5.736972808837891,2.3951978642354144,7.586827914896145
6,6.478110313415527,2.545213215708171,8.114483391819897
7,6.864579200744629,2.6200341983921946,8.366139201021547
8,6.9286017417907715,2.632223725634045,8.406455986672983
9,6.53880500793457,2.5571087203978187,8.154983865689596
10,5.792482852935791,2.406757747039737,7.628647568536595
11,4.8762664794921875,2.208226999085961,6.880874310338551
12,3.8669087886810303,1.9664457248246212,5.87363928204512
13,2.8854875564575195,1.698672292249897,4.602192057722202
14,2.172027111053467,1.4737798719800277,3.368652417765868
15,1.9283689260482788,1.3886572385035405,2.8519012459768645
