t,mse_t,rmse_t,mse_db_t
0,0.7151311635971069,0.8456542813686376,-1.4561429609790402
1,1.4279062747955322,1.1949503231496832,1.5469970206552937
2,2.8035459518432617,1.6743792735946244,4.477076788466446
3,4.419361114501953,2.102227655250961,6.4535949005016775
4,6.017717361450195,2.4531036181641808,7.794317860552558
5,7.521169662475586,2.7424750978770227,8.762853855992791
6,8.839207649230957,2.9730804982763175,9.464133363943493
7,9.917367935180664,3.14918528117681,9.963964258939397
8,10.697341918945312,3.270679121978387,10.292758773726556
9,11.169855117797852,3.3421333183758324,10.480475399957355
10,11.50069808959961,3.391267917696803,10.60724202723997
11,11.823938369750977,3.4385954065215314,10.727621573712153
12,12.176637649536133,3.489503925995231,10.855273825624963
13,12.498089790344238,3.535263751171083,10.968436404554856
14,13.540963172912598,3.679804773749906,11.316495569491092
15,15.305513381958008,3.9122261414644743,11.848479014088289
