t,mse_t,rmse_t,mse_db_t
0,0.9752976298332214,0.9875715821312506,-0.10862831204700873
1,1.8641678094863892,1.3653453077834885,2.7048500429137254
2,6.106686592102051,2.4711710972941656,7.858056316688043
3,18.501102447509766,4.301290788531945,12.671976080032717
4,52.397674560546875,7.23862380294396,17.19312013168217
5,164.89198303222656,12.841027335545492,22.17199540971965
6,537.5584716796875,23.185307237120828,27.304257105349976
7,1720.722412109375,41.4815912436996,32.357108153521914
8,5421.97021484375,73.63402891899743,37.341571274892964
9,17667.50390625,132.91916305126963,42.47175196008418
10,62118.3984375,249.23562834695204,47.93220250039094
11,237767.046875,487.6136245789283,53.76151663772838
12,969015.1875,984.3856904181409,59.8633058385753
13,4132791.5,2032.926830950883,66.1624349560748
14,18465040.0,4297.096694280919,72.66350252780957
15,84211632.0,9176.689599196434,79.25372083952209
16,394213472.0,19854.8097951101,85.95731461940596
17,1861859072.0,43149.26502270925,92.69946805233387
18,8912413696.0,94405.58085198142,99.49995337358386
19,43189534720.0,207820.9198324365,106.3537852542687
20,206980857856.0,454951.48956344783,113.15930182597407
21,995835838464.0,997915.7471770851,119.98187751751735
22,4772092444672.0,2184511.9465619773,126.78708848204937
23,22881329217536.0,4783443.238665638,133.59481249800768
24,109244892315648.0,10452028.143649824,140.38401140919487
25,523968628916224.0,22890361.048184104,147.19305285654673
26,2479865261457408.0,49798245.56605793,153.94428084941055
27,1.161188968759296e+16,107758478.49516511,160.64902901402039
28,5.524774058144563e+16,235048379.23594716,167.4231452175851
29,2.592316503223173e+17,509147965.05762184,174.1368802467225
30,1.2525408314961428e+18,1119169706.2984428,180.97791892307285
31,6.075372389997216e+18,2464827050.7273355,187.83572903169818
32,2.9316832685251887e+19,5414502071.774642,194.67117048451348
33,1.4129336624995946e+20,11886688615.840807,201.50121772119843
34,6.73558219532043e+20,25953000202.90608,208.28375140264995
35,3.233923991273929e+21,56867600540.852165,215.09729808223992
36,1.5287323694021166e+22,123641917220.74341,221.84331461432384
37,7.171010079427966e+22,267787417169.43994,228.55580332937762
