t,mse_t,rmse_t,mse_db_t
0,0.9171419143676758,0.9576752656133893,-0.3756345837778451
1,1.7700084447860718,1.3304166433061757,2.4797533840431667
2,5.823409557342529,2.413174166392167,7.65177334885466
3,17.773155212402344,4.21582200909886,12.497645335845144
4,52.087032318115234,7.217134633503468,17.167296140158754
5,169.39146423339844,13.015047607803762,22.288915221119694
6,562.999755859375,23.727615890758493,27.505082065228397
7,1833.845458984375,42.82342185048242,32.633627342030145
8,5865.84814453125,76.58882519357017,37.683308157454924
9,19123.521484375,138.28782117155149,42.81567868087157
10,66652.6953125,258.1718329185041,48.23817716175651
11,247392.71875,497.3858851535697,53.93386913347949
12,968841.8125,984.2976239430836,59.86252873473326
13,4060910.75,2015.1701541060993,66.08623444745282
14,17749928.0,4213.066341751575,72.49196595742318
15,81398848.0,9022.1310121279,79.1061825856508
16,382919904.0,19568.339326575468,85.83107941361277
17,1823188608.0,42698.81272354069,92.60831598537942
18,8498466816.0,92187.12934027179,99.29340582960214
19,38723588096.0,196783.09911168693,105.8797559187231
20,178037194752.0,421944.5399006841,112.50510742691338
21,822274883584.0,906793.7381698221,119.15017024921129
22,3827716849664.0,1956455.1744581321,125.8293980392804
23,18493611180032.0,4300419.884154569,132.6702172254
24,89073125425152.0,9437855.976075923,139.49746691241083
25,420275199934464.0,20500614.6233342,146.2353376343064
26,2016335882092544.0,44903628.82989018,153.04562878760095
27,9461736717418496.0,97271458.90454453,159.75970859188857
28,4.562460436175258e+16,213599167.5118435,166.59199111453515
29,2.1800046249692365e+17,466905196.4766762,173.38457414979138
30,1.0277111820200182e+18,1013760909.6922302,180.11871081898136
31,4.926493239889887e+18,2219570507.9789395,186.92537891189374
32,2.3737609419730452e+19,4872125759.843485,193.7543697965242
33,1.127530966371732e+20,10618526104.746044,200.52128478124004
34,5.2918375781826455e+20,23003994388.328835,207.2360650596491
35,2.528631579180085e+21,50285500685.38728,214.02885557385233
36,1.1900203568972742e+22,109088054199.22359,220.75554390646766
37,5.482665072682258e+22,234150914426.62054,227.38991716332376
38,2.460563633980052e+23,496040687240.4775,233.91034601042134
39,1.140120256853227e+24,1067764139149.2913,240.56950661979712
40,5.380960210239756e+24,2319689679728.682,247.30859780647646
41,2.4900814797399745e+25,4990071622471.94,253.96213558189112
42,1.1617223539706934e+26,10778322476019.604,260.65102346172785
43,5.298494455909979e+26,23018458801383.684,267.24152484246827
44,2.4192045972266005e+27,49185410410269.02,273.83672599113874
45,1.1083632614802442e+28,105278832700607.22,280.44682121945243
46,5.165781111801711e+28,227283547838415.06,287.13135999988543
47,2.3952781607571635e+29,489415790586814.2,293.793559547724
48,1.105804522759365e+30,1051572404905798.8,300.4367836187819
49,5.254213449933078e+30,2292207113228008.0,307.20507711816083
50,2.5349730979890154e+31,5034851634347347.0,314.0397335481061
51,1.2094578436893252e+32,1.0997535377025732e+16,320.8259073539143
52,5.836244330122664e+32,2.4158320161225332e+16,327.66133465024507
53,2.744689473551286e+33,5.238978405711638e+16,334.38493216708986
54,1.314721660900005e+34,1.14661312608046e+17,341.1883381827812
55,6.308140357273538e+34,2.5116011540994198e+17,347.99901347895803
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,inf,inf,inf
85,inf,inf,inf
86,inf,inf,inf
87,inf,inf,inf
88,inf,inf,inf
89,inf,inf,inf
90,inf,inf,inf
91,inf,inf,inf
92,inf,inf,inf
93,inf,inf,inf
94,inf,inf,inf
95,inf,inf,inf
96,inf,inf,inf
97,inf,inf,inf
98,inf,inf,inf
99,inf,inf,inf
100,inf,inf,inf
101,inf,inf,inf
102,inf,inf,inf
103,inf,inf,inf
104,inf,inf,inf
105,inf,inf,inf
106,inf,inf,inf
107,inf,inf,inf
108,inf,inf,inf
109,inf,inf,inf
110,inf,inf,inf
111,inf,inf,inf
112,inf,inf,inf
113,inf,inf,inf
114,inf,inf,inf
115,inf,inf,inf
116,inf,inf,inf
117,inf,inf,inf
118,inf,inf,inf
119,inf,inf,inf
120,inf,inf,inf
121,inf,inf,inf
122,inf,inf,inf
123,inf,inf,inf
124,inf,inf,inf
125,inf,inf,inf
126,inf,inf,inf
127,inf,inf,inf
128,inf,inf,inf
129,inf,inf,inf
130,inf,inf,inf
131,inf,inf,inf
132,inf,inf,inf
133,inf,inf,inf
134,inf,inf,inf
135,inf,inf,inf
136,inf,inf,inf
137,inf,inf,inf
138,inf,inf,inf
139,inf,inf,inf
140,inf,inf,inf
141,inf,inf,inf
142,inf,inf,inf
143,inf,inf,inf
144,inf,inf,inf
145,inf,inf,inf
146,inf,inf,inf
147,inf,inf,inf
148,inf,inf,inf
149,inf,inf,inf
150,inf,inf,inf
151,inf,inf,inf
152,inf,inf,inf
153,inf,inf,inf
154,inf,inf,inf
155,inf,inf,inf
156,inf,inf,inf
157,inf,inf,inf
158,inf,inf,inf
159,inf,inf,inf
160,inf,inf,inf
161,inf,inf,inf
162,inf,inf,inf
163,inf,inf,inf
164,inf,inf,inf
165,inf,inf,inf
