t,mse_t,rmse_t,mse_db_t
0,0.991814136505127,0.9958986577484312,-0.03569705923496505
1,1.523373007774353,1.2342499778304041,1.828062561815442
2,2.5298447608947754,1.5905485723154686,4.030938723397442
3,3.2863690853118896,1.8128345443839848,5.167163365527717
4,3.4423651695251465,1.8553611965127292,5.3685693882642855
5,3.0590689182281494,1.7490194161953003,4.855892613812225
6,2.507943630218506,1.5836488342490913,3.993177708507955
7,2.1909966468811035,1.48020155616764,3.4064171291344456
8,2.3032166957855225,1.5176352314655595,3.6233480003833183
9,2.7575936317443848,1.6606003829170897,4.405302674620225
10,3.30584716796875,1.8181988802022593,5.192827719087284
11,3.7362639904022217,1.932941796951533,5.724375542616185
12,3.9858932495117188,1.99647019750151,6.005256632132347
13,4.12989616394043,2.032214595937257,6.159391325293803
14,4.320837497711182,2.078662429956144,6.355679332461019
15,4.701946258544922,2.1683971634700416,6.722776609967532
16,5.364586353302002,2.316157670216344,7.2953624048572845
17,6.290962219238281,2.5081790644286706,7.9871707701053385
18,7.405993938446045,2.7213955865412225,8.695833522583182
19,8.627673149108887,2.9372901029875966,9.35893683923879
20,9.977593421936035,3.1587328823336795,9.990258028495827
21,11.549264907836914,3.3984209432965944,10.625543429615254
22,13.534045219421387,3.678864664461223,11.31427623197574
23,16.117036819458008,4.014602946675799,12.0728519806143
24,19.417707443237305,4.406552784574049,12.881979535058324
25,23.41531753540039,4.838937645330883,13.69500051630682
26,28.037433624267578,5.29503858572037,14.477382584448469
27,33.25813674926758,5.766986799817351,15.218979146917286
28,39.09014129638672,6.252210912660154,15.920672402488282
29,45.82128143310547,6.7691418535221635,16.61067230456713
30,53.77184295654297,7.332928675266313,17.305549215829547
31,63.33781433105469,7.958505785073897,18.016630726080436
32,74.90640258789062,8.654848501729573,18.745189403930823
33,88.9608154296875,9.431904125344335,19.491987550719596
34,106.01988983154297,10.296596031288349,20.253873486021806
35,126.82608795166016,11.261708926786385,21.03208596511823
36,152.4209747314453,12.345888981010857,21.830447346107714
