t,mse_t,rmse_t,mse_db_t
0,0.9418435020446777,0.9704862193996768,-0.26021254154882034
1,1.4179587936401368,1.1907807496093212,1.5166361028658735
2,2.3580368423461913,1.5355900632480635,3.725505862987879
3,3.1016874618530275,1.7611608279350945,4.9159803447342485
4,3.315050323486328,1.8207279652617874,5.204901255150113
5,3.009210113525391,1.7347075008558044,4.784525127513268
6,2.5022151641845705,1.5818391714028865,3.9832465172043867
7,2.167284912109375,1.4721701369438844,3.359160075927287
8,2.222116065979004,1.4906763786882127,3.4676673934731777
9,2.61501904296875,1.6171020508826122,4.174748558136695
10,3.126174606323242,1.7680991505917427,4.950132310232086
11,3.552375473022461,1.8847746478087137,5.505188628621163
12,3.8084243698120117,1.9515184779581287,5.8074533551048715
13,3.9513602447509766,1.9878028686846632,5.96746626030574
14,4.135048919677734,2.0334819693515196,6.164806518378819
15,4.504199508666992,2.1223099464185227,6.536176188757505
16,5.165232315063476,2.272714745643077,7.130898594241151
17,6.103241806030273,2.470474004321898,7.855605767310157
18,7.235001098632813,2.689795735484911,8.59438601402552
19,8.489190139770507,2.9136214818968003,9.288662609618546
20,9.850003784179687,3.138471568164938,9.934363973451285
21,11.412802215576171,3.378283915773831,10.573922909865418
22,13.381417785644532,3.658062025942771,11.265021301628646
23,15.959659393310547,3.994954241704221,12.030236185194605
24,19.287337280273437,4.391735110440227,12.852722751138518
25,23.380503173828124,4.835338992648615,13.688538534154501
26,28.132185974121093,5.303978315766487,14.492034797518762
27,33.48195025634766,5.786358980943686,15.248107468392034
28,39.5130263671875,6.285938781692636,15.967402942786356
29,46.40382507324219,6.812035310627961,16.66553780980167
30,54.53858764648437,7.385024552869433,17.367038870841515
31,64.43972290039062,8.02743563663955,18.091536642256095
32,76.57491967773437,8.750709667091828,18.840865499313033
33,91.377064453125,9.559135131021268,19.608372019546685
34,109.26219970703124,10.452856055023013,20.38469939643775
35,130.84591015625,11.438789715535906,21.167601524682084
36,157.28126025390625,12.5411825699934,21.966769803909372
37,189.93089208984375,13.781541716725446,22.785956080915348
38,230.56594091796876,15.184397943875442,23.62795153939426
39,280.7205029296875,16.75471584150825,24.482741332758607
40,341.75471875,18.48660917393993,25.337145197663805
41,414.78450390625,20.366258957065483,26.178225230455542
