t,mse_t,rmse_t,mse_db_t
0,0.0017864450346678495,0.04226635819026581,-27.48010341626489
1,0.0010025305673480034,0.031662763103494355,-29.98902376784408
2,0.0008195823756977916,0.028628349161238614,-30.864073892404534
3,0.0007596242357976735,0.027561281461457365,-31.194011875562882
4,0.0007231180788949132,0.026890854930531925,-31.407907804020248
5,0.000730935309547931,0.02703581531132233,-31.36121057993673
6,0.0007425635121762753,0.02725001857203542,-31.292663947945123
7,0.000762910523917526,0.027620834960542486,-31.17526394217506
8,0.0007383515476249158,0.027172624967509412,-31.31736810478287
9,0.0007347402279265225,0.02710609208142189,-31.33866181350362
10,0.0007554293842986226,0.027485075664778924,-31.21806126219443
11,0.0007450516568496823,0.027295634391779254,-31.278136151617332
12,0.000734113622456789,0.027094531227847236,-31.342367169407783
13,0.000767650781199336,0.027706511530673363,-31.148363037838976
14,0.0007543747196905315,0.027465882831078477,-31.224128739330617
15,0.0007756068953312933,0.027849719842958805,-31.103583385940794
16,0.000739118957426399,0.027186742309927445,-31.312856584979603
17,0.0006684883264824748,0.025855141200203775,-31.74906172229238
18,0.0007229250622913241,0.026887265801701074,-31.409067189158417
19,0.0007286018808372319,0.026992626416064664,-31.37509711990374
20,0.0007349404622800648,0.02710978536027286,-31.337478418008963
21,0.0007392534171231091,0.02718921508839689,-31.312066593155002
22,0.0007379839080385864,0.02716585923615497,-31.31953107995711
23,0.0007571243331767619,0.027515892374712508,-31.208327958252973
24,0.000714960799086839,0.02673875088867913,-31.457177696772295
25,0.0007527430425398052,0.027436163043323043,-31.233532498976135
26,0.000744626740925014,0.02728784969404907,-31.280613715185908
27,0.0007936095935292542,0.028171077251842078,-31.003930908644193
28,0.0007634538924321532,0.027630669417011113,-31.17217186331128
29,0.0007708538323640823,0.0277642545796584,-31.130279641225613
30,0.0007520990911871195,0.02742442508398525,-31.237249361095927
31,0.0007368053193204105,0.027144158106679427,-31.32647247437751
32,0.0007591835455968976,0.027553285568093284,-31.196532132966635
33,0.0006958286394365132,0.02637856401392072,-31.57497700202868
34,0.0007246994064189494,0.026920241574305188,-31.39842094400061
35,0.000695642433129251,0.0263750342773095,-31.57613934559179
36,0.000774538959376514,0.02783054004823683,-31.109567323054254
