t,mse_t,rmse_t,mse_db_t
0,1.0397950410842896,1.0197034083910328,0.16947741896498186
1,1.9474449157714844,1.3955088375827236,2.8946518233186085
2,6.530195713043213,2.5554247617652948,8.149261974804322
3,19.678112030029297,4.436001806810869,12.93983428735954
4,54.71980667114258,7.397283736017064,17.381445543223613
5,174.7616729736328,13.219745571440958,22.424461935091458
6,584.0938720703125,24.16803409610125,27.664826499308273
7,1883.63671875,43.40088384756697,32.74997147790582
8,5914.8818359375,76.9082689698416,37.71946072968531
9,19212.70703125,138.6099095708889,42.835885603800214
10,66766.9453125,258.3930055409782,48.24561507066604
11,249793.46875,499.7934260772144,53.975810788623086
12,995759.625,997.8775601244874,59.98154512986649
13,4091280.0,2022.691276492782,66.11859202865206
14,17925950.0,4233.90481706899,72.53482180731754
15,81263568.0,9014.630774468802,79.09895886765841
16,378815040.0,19463.171375703394,85.7842721336012
17,1774578688.0,42125.74851560504,92.49095261506389
18,8373362688.0,91506.08006028889,99.22899902863101
19,39939289088.0,199848.16508539676,106.01400330241582
20,188201205760.0,433821.6289674824,112.74622401520766
21,878383857664.0,937221.3493428327,119.43684346013272
22,4115134414848.0,2028579.4080705838,126.14384025374142
23,19327617073152.0,4396318.581853686,132.8617831260202
24,91010096955392.0,9539921.223751903,139.59089577032697
25,428381850042368.0,20697387.517326143,146.3183106208179
26,2035544183799808.0,45117005.48351816,153.08680533673015
27,9855310340554752.0,99273915.71079864,159.93670304624428
28,4.770198555354726e+16,218407842.24369615,166.78536456545402
29,2.2786964450810266e+17,477356936.16842175,173.57686474804404
30,1.1065790823609139e+18,1051940626.8230703,180.43982456497065
31,5.226177778423955e+18,2286083502.0672264,187.18184178999292
32,2.4835830220855443e+19,4983555981.511138,193.95078682322375
33,1.1957861853180199e+20,10935200891.241184,200.7765353179461
34,5.757204027459303e+20,23994174350.16113,207.60211620532021
35,2.7363606749425026e+21,52310234896.64812,214.37173340421495
36,1.299286015516593e+22,113986227918.84084,221.13704764073563
37,6.058920460842673e+22,246148744884.93076,227.82395251284473
38,2.8302551201916413e+23,532001421068.745,234.51825584746075
39,1.3189488305688844e+24,1148454975420.841,241.20227947151642
40,6.100382652653676e+24,2469895271596.2827,247.8535707742451
41,2.802611521275683e+25,5293969702667.066,254.47562903019377
42,1.287407861211108e+26,11346399698631.756,261.09716156703917
43,6.0032220605857715e+26,24501473548719.008,267.78384408307295
44,2.8234598285136047e+27,53136238373765.266,274.5078161308264
45,1.349404416563794e+28,116163867728472.0,281.3014212725558
46,6.533070074709429e+28,255598710378386.47,288.15117316523873
47,3.1451697465083165e+29,560818129745135.5,294.9764408952135
48,1.501657988774937e+30,1225421555537088.2,301.76571030869746
49,7.061795708643412e+30,2657403941564664.0,308.4891514966262
50,3.364823060116839e+31,5800709491188849.0,315.2696223169959
51,1.5907718097244996e+32,1.2612580266244094e+16,322.0160788619276
52,7.382549817206361e+32,2.7170848012541604e+16,328.68206386252064
53,3.4607638193605314e+33,5.882825698047267e+16,335.3917196177653
54,1.6061896913895906e+34,1.2673553926936163e+17,342.0579683425456
55,7.302101726680383e+34,2.7022401312023296e+17,348.63447878877776
56,3.3789428780897866e+35,5.812867517920726e+17,355.2878084997552
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
80,inf,inf,inf
81,inf,inf,inf
82,inf,inf,inf
83,inf,inf,inf
84,inf,inf,inf
85,inf,inf,inf
86,inf,inf,inf
87,inf,inf,inf
88,inf,inf,inf
89,inf,inf,inf
90,inf,inf,inf
91,inf,inf,inf
92,inf,inf,inf
93,inf,inf,inf
94,inf,inf,inf
95,inf,inf,inf
96,inf,inf,inf
97,inf,inf,inf
98,inf,inf,inf
99,inf,inf,inf
100,inf,inf,inf
101,inf,inf,inf
102,inf,inf,inf
103,inf,inf,inf
104,inf,inf,inf
105,inf,inf,inf
106,inf,inf,inf
107,inf,inf,inf
108,inf,inf,inf
109,inf,inf,inf
110,inf,inf,inf
111,inf,inf,inf
112,inf,inf,inf
113,inf,inf,inf
114,inf,inf,inf
115,inf,inf,inf
116,inf,inf,inf
117,inf,inf,inf
118,inf,inf,inf
119,inf,inf,inf
