t,mse_t,rmse_t,mse_db_t
0,0.8591296076774597,0.9268924466611321,-0.659413138717339
1,1.326021671295166,1.1515301434592,1.2255062184175398
2,2.241136312484741,1.4970425219360808,3.5046827240277634
3,3.2976629734039307,1.8159468531330785,5.182062679639764
4,4.331394672393799,2.0812002960776743,6.36627758016027
5,5.1986985206604,2.2800654641172917,7.1589463285770965
6,5.688313961029053,2.3850186500379933,7.549835588503113
7,5.7883620262146,2.4059014996908332,7.6255568572800305
8,5.556711196899414,2.357267739757072,7.44817825460509
9,5.111091613769531,2.26077234894837,7.085136655371167
10,4.4800567626953125,2.116614457735587,6.512835165805506
11,3.8861865997314453,1.9713413199472702,5.8952364991483535
12,3.369126319885254,1.835517997701263,5.275172944482214
13,2.908332586288452,1.7053834132793868,4.636440693571099
14,2.51452898979187,1.5857266440947098,4.004566469301276
15,2.1511874198913574,1.4666926807928637,3.3267824947568574
16,1.8305463790893555,1.352976858297789,2.6258073672884046
17,1.605711817741394,1.267166846844327,2.0566760371034913
18,1.605454921722412,1.267065476493781,2.0559811586823016
19,1.9085664749145508,1.3815087675851176,2.807072909216417
20,2.5351860523223877,1.592226759077484,4.040098368575023
21,3.488229751586914,1.867680313005123,5.4260508192576555
22,4.735673904418945,2.1761603581581355,6.753817894945724
23,6.12494421005249,2.4748624628557625,7.871021372199666
