t,mse_t,rmse_t,mse_db_t
0,0.9402800590437702,0.9696803901511932,-0.2674277407873581
1,1.0549483534322004,1.0271067877451694,0.23231198620973784
2,1.8880900538171974,1.3740778921943244,2.7602270444466748
3,3.2696860145966404,1.80822731275596,5.145060497014963
4,5.015282337336984,2.2394826048301835,7.002953868272287
5,6.897521339112883,2.6263132598973953,8.386930527459512
6,8.814552587834395,2.9689312197884266,9.452002731224686
7,10.276878756906852,3.2057571269369194,10.118612329005057
8,11.25801513890179,3.3552965798721566,10.51461828329965
9,11.42728956199004,3.38042742297332,10.579432323321393
10,10.749496234071255,3.278642437667038,10.313881118898124
11,9.546850845547098,3.0897978648363225,9.798601374531543
12,7.785975887835707,2.790336160364143,8.913130544301634
13,5.876731174908221,2.4241970165207736,7.691358248093104
14,3.9213285335942625,1.9802344642981706,5.934332295356
15,2.3158840073825777,1.5218028805934682,3.647168036671435
